[run number];1;2;3;4;5;6;7;8;9;10
N-HUMATS;100;100;100;100;100;100;100;100;100;100
initialization;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform
allowed_contacts_per_day;1;2;3;4;5;6;7;8;9;10
;2403;2560;2672;3009;3259;3431;3639;3561;3709;3713
;2408;2565;2680;3018;3268;3442;3648;3571;3716;3723
;2412;2570;2683;3025;3277;3449;3657;3580;3724;3737
;2416;2573;2687;3031;3287;3458;3666;3591;3735;3747
;2424;2577;2692;3038;3293;3470;3674;3596;3745;3757
;2428;2579;2696;3044;3297;3476;3681;3606;3752;3770
;2437;2588;2699;3050;3306;3484;3685;3614;3758;3776
;2443;2590;2705;3056;3312;3492;3695;3626;3763;3781
;2449;2594;2710;3061;3318;3503;3698;3636;3772;3788
;2460;2600;2722;3070;3333;3512;3710;3644;3788;3801
;2467;2610;2729;3082;3339;3524;3719;3654;3797;3810
;2480;2620;2738;3092;3347;3526;3729;3667;3813;3819
;2483;2626;2744;3104;3351;3535;3741;3673;3819;3826
;2492;2635;2755;3108;3362;3546;3752;3684;3833;3837
;2497;2645;2761;3116;3371;3549;3765;3696;3843;3845
;2506;2648;2771;3130;3379;3564;3774;3705;3855;3853
;2512;2655;2779;3139;3386;3565;3783;3724;3867;3865
;2523;2662;2784;3145;3400;3572;3794;3734;3877;3875
;2535;2670;2792;3160;3412;3580;3801;3748;3893;3886
;2544;2677;2794;3170;3420;3594;3813;3756;3900;3893
;2548;2684;2802;3180;3431;3609;3822;3762;3907;3901
;2556;2697;2808;3183;3439;3618;3829;3770;3912;3912
;2560;2704;2812;3190;3453;3629;3838;3783;3923;3922
;2564;2712;2820;3193;3459;3638;3844;3795;3932;3932
;2569;2714;2829;3198;3465;3647;3855;3806;3942;3940
;2574;2720;2837;3203;3477;3659;3868;3821;3952;3947
;2577;2726;2842;3206;3482;3669;3874;3831;3963;3960
;2584;2733;2846;3212;3488;3675;3887;3839;3970;3972
;2590;2739;2853;3216;3493;3680;3896;3849;3979;3986
;2596;2743;2856;3225;3501;3688;3901;3857;3987;3993
;2600;2749;2858;3230;3506;3698;3909;3865;3994;4002
;2608;2754;2863;3238;3515;3707;3916;3875;4002;4007
;2615;2761;2869;3241;3518;3711;3924;3884;4014;4022
;2620;2766;2875;3243;3528;3722;3932;3898;4027;4032
;2627;2779;2885;3257;3542;3728;3945;3910;4037;4048
;2635;2790;2896;3266;3549;3736;3956;3920;4047;4067
;2645;2802;2906;3276;3562;3747;3961;3934;4061;4075
;2654;2805;2913;3284;3570;3758;3972;3946;4073;4084
;2663;2813;2923;3295;3579;3771;3982;3955;4087;4092
;2671;2824;2934;3308;3592;3781;3988;3964;4101;4100
;2676;2828;2941;3315;3599;3794;3997;3975;4109;4105
;2683;2842;2950;3326;3611;3803;4005;3986;4120;4120
