"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"Single_run_contacts"
"12/16/2021 13:51:34:952 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","N-HUMATS","initialization","allowed_contacts_per_day","experiential-importance-parameter","min_attraction_dif","stop-at-day-hundred?","repulsion_dif","dilemma_threshold","break-the-rule-effect","adhere-to-rule-effect","inquiry-opinion-change","extra_exp_satisfaction_per_hour","values-importance-parameter","parametrize-importances?","social-influence-per-tick","repulsion?","max_attraction_dif","no_contact_accept_probability","values_satisfaction_opinion_contribution","inquiry_probability","make_contact_probability","[step]","sort [total_n_contacts_at_end_of_day] of HUMATs"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","30","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","31","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","32","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","33","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","34","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","35","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","36","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","37","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","38","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","39","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","40","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","41","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","42","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","43","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","44","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
"1","100","random uniform","10","0.5","25","false","50","0.05","0.02","0.04","0.2","0.01","0.5","false","0.001","true","50","20","0.5","1","10","45","[1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 9 9 9 9 10 10 10]"
