BehaviorSpace results (NetLogo 6.2.0)
HUMAT_COVID_visitors_measure_FINAL.nlogo
importances_sweep
12/14/2021 14:24:46:706 +0100
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-45,""45"",""-45"",""45"""
"[run number],""N-HUMATS"",""experiential-importance-parameter"",""values-importance-parameter"",""min_attraction_dif"",""initialization"",""repulsion_dif"",""stop-at-day-hundred?"",""dilemma_threshold"",""adhere-to-rule-effect"",""extra_exp_satisfaction_per_hour"",""inquiry-opinion-change"",""break-the-rule-effect"",""parametrize-importances?"",""social-influence-per-tick"",""repulsion?"",""no_contact_accept_probability"",""max_attraction_dif"",""values_satisfaction_opinion_contribution"",""inquiry_probability"",""make_contact_probability"",""allowed_contacts_per_day"",""[step]"",""average_contacts_per_day_per_humat"",""average_dilemmas_per_day_per_humat"",""average_opinion_sd_over_time"",""average_opinion_mean_over_time"""
"34,""100"",""0.2"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.533838383838384"",""0.19151515151515153"",""19.337992968091847"",""47.90505050505049"""
"32,""100"",""0.2"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.934848484848485"",""0.18393939393939396"",""16.53299830664018"",""53.80454545454541"""
"35,""100"",""0.2"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.92010101010101"",""0.1393939393939394"",""17.8150792393384"",""50.198383838383826"""
"30,""100"",""0.2"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.2062626262626264"",""0.1603030303030303"",""18.64860412083955"",""59.11131313131316"""
"33,""100"",""0.2"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.1653535353535354"",""0.14535353535353535"",""18.437025353019894"",""57.673535353535364"""
"36,""100"",""0.2"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.2064646464646462"",""0.08383838383838384"",""18.97966021161396"",""57.748585858585855"""
"37,""100"",""0.4"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7101010101010101"",""0.3044444444444444"",""16.912729402086804"",""38.151313131313124"""
"38,""100"",""0.4"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.990909090909091"",""0.3598989898989899"",""15.453115336993598"",""49.809393939393914"""
"40,""100"",""0.4"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7657575757575756"",""0.32707070707070707"",""17.926178568734404"",""34.72868686868685"""
"39,""100"",""0.4"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.221212121212121"",""0.39454545454545453"",""19.89396587875725"",""57.358282828282846"""
"43,""100"",""0.4"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.73"",""0.23606060606060605"",""20.626607749744743"",""42.161919191919196"""
"44,""100"",""0.4"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.931010101010101"",""0.25373737373737376"",""17.754054704536244"",""55.54393939393939"""
"41,""100"",""0.4"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9533333333333334"",""0.26171717171717174"",""18.178194089016802"",""47.07757575757576"""
"46,""100"",""0.4"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.6813131313131313"",""0.24383838383838385"",""17.780837172728113"",""40.4249494949495"""
"42,""100"",""0.4"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.224848484848485"",""0.2832323232323232"",""16.702248615917156"",""60.229595959595976"""
"47,""100"",""0.4"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9140404040404042"",""0.21454545454545454"",""15.90853860597617"",""54.89252525252529"""
"45,""100"",""0.4"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.220808080808081"",""0.18161616161616162"",""18.238182026549456"",""56.106868686868694"""
"49,""100"",""0.4"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7054545454545453"",""0.21282828282828284"",""17.530029706970893"",""41.545656565656564"""
"48,""100"",""0.4"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.2085858585858587"",""0.20171717171717174"",""16.27362099097302"",""55.692626262626284"""
"50,""100"",""0.4"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.901010101010101"",""0.13575757575757577"",""16.046717850528236"",""57.57555555555553"""
"52,""100"",""0.4"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7174747474747474"",""0.15121212121212121"",""17.8974027445712"",""39.18626262626263"""
"55,""100"",""0.6"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.6869696969696968"",""0.2916161616161616"",""17.697961028594083"",""39.59767676767677"""
"51,""100"",""0.4"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.245454545454545"",""0.19595959595959594"",""17.89025060497134"",""60.75575757575756"""
"53,""100"",""0.4"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9212121212121211"",""0.11313131313131314"",""19.183124580532187"",""51.917878787878806"""
"54,""100"",""0.4"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.1778787878787877"",""0.162020202020202"",""21.604986169969973"",""56.805151515151515"""
"56,""100"",""0.6"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9960606060606059"",""0.262020202020202"",""18.44727637950098"",""49.63464646464647"""
"58,""100"",""0.6"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7613131313131314"",""0.20353535353535354"",""19.398174651995642"",""41.097272727272724"""
"59,""100"",""0.6"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.931919191919192"",""0.2290909090909091"",""16.827295484268127"",""53.21444444444444"""
